player_id,名前,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率,野手WAR,wOBA,wRC+,OPS,ISOp,ランク
31535132,愛斗（武田　愛斗）,2019,埼玉西武,42,57,53,7,8,1,0,0,9,3,0,0,1,0,3,0,11,2,0.151,0.17,0.196,-0.69,.164,53,.363,.019,B
31535132,愛斗（武田　愛斗）,2020,埼玉西武,7,14,13,0,2,0,0,0,2,3,0,0,0,1,0,0,5,2,0.154,0.154,0.143,-0.22,.124,40,.297,.000,B
31535132,愛斗（武田　愛斗）,2021,埼玉西武,97,316,292,24,64,18,2,8,110,39,1,2,3,2,13,6,60,5,0.219,0.377,0.265,-1.08,.269,87,.639,.158,B
31535132,愛斗（武田　愛斗）,2022,埼玉西武,121,393,366,34,89,19,0,9,135,28,9,4,14,1,10,2,70,7,0.243,0.369,0.266,-1.66,.259,84,.626,.126,B
31535132,愛斗（武田　愛斗）,2023,埼玉西武,73,267,257,19,55,18,0,4,85,15,2,5,4,1,3,2,55,7,0.214,0.331,0.228,-1.75,.231,75,.555,.117,B
31535132,愛斗（武田　愛斗）,2024,千葉ロッテ,52,76,69,4,13,2,0,0,15,3,0,0,2,0,4,1,14,3,0.188,0.217,0.243,-0.67,.204,66,.454,.029,B
31535132,愛斗（武田　愛斗）,2025,千葉ロッテ,17,20,15,2,2,1,0,0,3,1,0,0,4,0,0,1,5,0,0.133,0.2,0.188,-0.28,.140,45,.350,.067,B
31635138,藤原　恭大,2019,千葉ロッテ,6,19,19,0,2,0,0,0,2,2,0,0,0,0,0,0,6,0,0.105,0.105,0.105,-0.35,.092,30,.211,.000,B
31635138,藤原　恭大,2020,千葉ロッテ,26,105,96,10,25,5,0,3,39,10,4,1,2,1,6,0,33,1,0.26,0.406,0.301,-0.15,.293,95,.701,.146,B
31635138,藤原　恭大,2021,千葉ロッテ,78,254,217,27,47,12,1,5,76,22,7,2,5,4,23,5,55,3,0.217,0.35,0.301,-0.69,.277,89,.646,.134,B
31635138,藤原　恭大,2022,千葉ロッテ,49,126,115,10,24,2,0,1,29,5,9,0,1,0,9,1,23,1,0.209,0.252,0.272,-0.79,.235,76,.522,.043,B
31635138,藤原　恭大,2023,千葉ロッテ,103,361,328,35,78,15,2,3,106,21,5,2,10,1,18,4,78,3,0.238,0.323,0.285,-1.59,.257,83,.600,.085,B
31635138,藤原　恭大,2024,千葉ロッテ,74,264,231,30,67,8,4,2,89,21,4,1,3,2,25,3,39,2,0.29,0.385,0.364,0.28,.323,104,.745,.095,B
31635138,藤原　恭大,2025,千葉ロッテ,107,452,409,38,111,12,6,4,147,24,15,6,4,0,33,6,80,3,0.271,0.359,0.335,-0.34,.301,97,.691,.088,B
33335136,和田　康士朗,2020,千葉ロッテ,71,69,59,24,12,1,0,0,13,0,23,3,3,0,6,1,23,0,0.203,0.22,0.288,-0.48,.227,73,.496,.017,B
33335136,和田　康士朗,2021,千葉ロッテ,96,24,19,25,5,1,0,0,6,1,24,5,0,0,5,0,8,0,0.263,0.316,0.417,0.06,.339,109,.732,.053,B
33335136,和田　康士朗,2024,千葉ロッテ,88,71,60,12,9,0,0,0,9,8,11,0,3,1,6,1,13,0,0.15,0.15,0.235,-0.78,.179,58,.375,.000,B
33335136,和田　康士朗,2025,千葉ロッテ,17,10,8,4,1,1,0,0,2,1,0,1,0,1,1,0,2,0,0.125,0.25,0.2,-0.1,.190,61,.450,.125,B
33535153,山本　大斗,2022,千葉ロッテ,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0.05,.000,0,.000,.000,B
33535153,山本　大斗,2023,千葉ロッテ,2,7,7,0,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0.143,0.143,0.143,-0.11,.124,40,.286,.000,B
33535153,山本　大斗,2024,千葉ロッテ,5,19,18,0,2,1,0,0,3,0,0,0,0,0,1,0,4,0,0.111,0.167,0.158,-0.26,.146,47,.325,.056,B
33535153,山本　大斗,2025,千葉ロッテ,107,417,385,40,79,18,0,11,130,33,2,0,1,1,24,6,112,13,0.205,0.338,0.262,-1.81,.258,83,.599,.132,B
